216,240,240,1.0
54,59,53,0.9
60,95,144,0.8
117,63,146,0.7
38,45,77,0.6
111,32,114,0.5
86,93,228,0.4
65,38,108,0.3
639,38,121,0.2
45,59,123,0.1
45,56,123,0.0
188,188,188,1.0
123,120,123,0.9
68,54,100,0.8
30,30,48,0.7
77,62,142,0.6
129,161,319,0.5
127,45,160,0.4
36,36,83,0.3
56,141,166,0.2
57,42,114,0.1
72,41,123,0.0
95,109,100,1.0
152,155,164,0.9
72,42,86,0.8
48,56,105,0.7
92,50,90,0.6
87,83,209,0.5
146,167,405,0.4
54,72,144,0.3
69,47,127,0.2
57,50,99,0.1
66,120,201,0.0
